¨é°Ó¶R½æªÑ²¼¦¨¥æ»ù¶q¸ê°T
ªÑ²¼¥N½X,="2330"
§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ,,§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ
327,1169¤é²±¤hªL,569.00,12071,0,,328,1169¤é²±¤hªL,570.00,45674,0 
329,1169¤é²±¤hªL,571.00,3029,0,,330,1169¤é²±¤hªL,572.00,340,0 
331,1169¤é²±¤hªL,573.00,90,0,,332,116A¤é²±¤ì¬],566.00,7000,1000 
333,116A¤é²±¤ì¬],569.00,4395,2000,,334,116A¤é²±¤ì¬],570.00,11350,6000 
335,116A¤é²±¤ì¬],571.00,14126,0,,336,116A¤é²±¤ì¬],572.00,2070,0 
337,116b¤é²±¶é°Ï,566.00,1000,0,,338,116b¤é²±¶é°Ï,569.00,4210,1000 
339,116b¤é²±¶é°Ï,570.00,9502,0,,340,116b¤é²±¶é°Ï,571.00,4642,0 
341,116b¤é²±¶é°Ï,572.00,1115,0,,342,116b¤é²±¶é°Ï,573.00,7,0 
343,116B¤é²±¤¤Ãc,566.00,7000,0,,344,116B¤é²±¤¤Ãc,569.00,2078,0 
345,116B¤é²±¤¤Ãc,570.00,14343,1120,,346,116B¤é²±¤¤Ãc,571.00,5287,3040 
347,116B¤é²±¤¤Ãc,572.00,696,0,,348,116B¤é²±¤¤Ãc,573.00,120,0 
349,116c¤é²±Â×­ì,569.00,1100,0,,350,116c¤é²±Â×­ì,570.00,5329,1000 
351,116c¤é²±Â×­ì,571.00,4483,0,,352,116c¤é²±Â×­ì,572.00,166,0 
353,116c¤é²±Â×­ì,573.00,130,0,,354,116C¤é²±¤K¼w,566.00,2000,0 
355,116C¤é²±¤K¼w,569.00,7310,0,,356,116C¤é²±¤K¼w,570.00,17339,1050 
357,116C¤é²±¤K¼w,571.00,9486,1527,,358,116C¤é²±¤K¼w,572.00,1069,50 
359,116C¤é²±¤K¼w,573.00,100,0,,360,116d¤é²±¤T®l,569.00,2300,0 
361,116d¤é²±¤T®l,570.00,11410,1000,,362,116d¤é²±¤T®l,571.00,2470,20 
363,116d¤é²±¤T®l,572.00,536,0,,364,116d¤é²±¤T®l,573.00,500,0 
365,116e¤é²±¦Ë¥_,566.00,1000,0,,366,116e¤é²±¦Ë¥_,569.00,4035,6 
367,116e¤é²±¦Ë¥_,570.00,6410,0,,368,116e¤é²±¦Ë¥_,571.00,1730,1000 
369,116e¤é²±¦Ë¥_,572.00,340,0,,370,116e¤é²±¦Ë¥_,573.00,28,0 
371,116E¤é²±¤T­«,566.00,4000,0,,372,116E¤é²±¤T­«,569.00,5410,0 
373,116E¤é²±¤T­«,570.00,10140,100,,374,116E¤é²±¤T­«,571.00,6570,1000 
375,116E¤é²±¤T­«,572.00,1494,0,,376,116f¤é²±´_¿³,566.00,2000,1000 
377,116f¤é²±´_¿³,569.00,3110,0,,378,116f¤é²±´_¿³,570.00,6781,0 
